Location,Year,Sample_date,Tissue,UCDavis,DFO_sample_id,csia_sample_id,sex,duplicate_in_year,duplicate_other_year,duplicate_id,wgs,genetic_group,pop_analysis,mean_se,Ala,Asx,Glx,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Tyr,Val
Pangnirtung,2021,,SKIN,CM332,KW-2021-PG-08,Kw-2021-PG-08,M,1,2,ARPI4005,1,ECAG1,,mean,-20.44,-13.51,-15.73,-5.45,,-15.21,-25.61,-17.53,-21.49,-26.48,-12.63,-4.81,-4.78,-27.59,-21.16
Pangnirtung,2021,,SKIN,CM333,KW-2021-PG-XX,Kw-2021-PG-XX,M,2,3,ARPI4005,1,ECAG1,1,mean,-18.78,-14.46,-16.1,-6.69,,-14.87,-25.58,-17.6,-21.84,-26.52,-13.25,-4.98,-4.9,-27.15,-20.6
St. P & M,2021,2021-06-25,SKIN,CM334,OR21-1,OR21-1,F,0,0,OR21-1,1,ECAG1,1,mean,-17.8,-13.94,-16.16,-6.58,,-14.68,-25.08,-17.82,-21.57,-26.67,-13.23,-4.9,-4.84,-27.46,-19.8
St. P & M,2021,2021-06-25,SKIN,CM335,OR21-2,OR21-2,M,0,0,OR21-2,1,ECAG1,1,mean,-19.32,-14.4,-17.07,-7.19,,-15.21,-26.17,-17.21,-22.25,-26.5,-13.88,-6.39,-4.78,-27.38,-20.94
St. P & M,2021,2021-06-25,SKIN,CM336,OR21-3,OR21-3,M,0,0,OR21-3,1,ECAG1,1,mean,-17.07,-14.35,-16.01,-6.63,,-14.01,-25.47,-17.31,-22.53,-25.97,-13.71,-3.1,-4.77,-27.01,-20.17
Mittimatalik,2022,2022-10-10,SKIN,CM337,KW-2022-PI-01,KW-2022-PI-01,F,0,2,ARPI-2018-13,1,ECAG1,1,mean,-18.64,-14.02,-16.9,-6.99,,-14.72,-26.45,-17.09,-23.09,-26.54,-14.17,-5.46,-5.34,-27.24,-20.4
Newfoundland,2022,,SKIN,CM297,KW-Nfld-22-25,KW-Nfld-22-25,M,0,0,KW-Nfld-22-25,1,ECAG1,1,mean,-17.14,-13.67,-15.91,-8.52,,-16.19,-25.28,-16.92,-21.12,-26.35,-13.88,-4.66,-3.68,-25.37,-18.94
Pangnirtung,2013,2013-08-12,SKIN,CM118,ARPG-2013-01,Pang2003-01,F,0,0,Pang2013-01,1,ECAG2,1,se,0.14,0.74,0.21,0.12,,0.1,0.2,,0.08,0.1,0.02,,0.22,,0.1
Mittimatalik,2013,2013-08-11,SKIN,CM119,ARPI-2013-01,ARPI4001,F,0,1,ARPI4001,1,ECAG1,1,se,0.36,0.4,0.18,0.57,,0.13,0.3,,0.33,0.12,0.14,,0.43,,0.31
Mittimatalik,2013,2013-08-11,SKIN,CM121,ARPI-2013-03,ARPI4003,F,1,0,ARPI4003,1,ECAG1,,se,0.56,1.56,0.27,0.81,,0.71,0.3,,0.58,0.43,0.11,,0.82,,0.46
Mittimatalik,2013,2013-08-11,SKIN,CM122,ARPI-2013-04,ARPI4004,F,2,0,ARPI4003,1,ECAG1,1,se,0.25,1,0.04,0.07,,0.06,0.04,,0.77,0.18,0.03,,0.16,,0.23
Mittimatalik,2013,2013-08-11,SKIN,CM123,ARPI-2013-05,ARPI4005,M,0,1,ARPI4005,1,ECAG1,,se,0.23,0.3,0.03,0.06,,0.66,0.28,,0.01,0.23,0.21,,0.14,,0.14
Mittimatalik,2013,2013-08-11,SKIN,CM124,ARPI-2013-06,ARPI4006,F,0,1,ARPI4006,1,ECAG1,1,se,0.21,0.82,0.05,0.34,,0.38,0.07,,0.09,0.23,0.12,,0.36,,0.15
Mittimatalik,2013,2013-08-11,SKIN,CM125,ARPI-2013-07,ARPI4007,M,0,0,ARPI4007,1,ECAG1,1,se,0.03,0.54,0.06,0.7,,0.2,0,,0.12,0.17,0.26,,0.88,,0.34
Pangnirtung,2020,2020-08-05,SKIN,CM262,KW-2020-PG-01,KW-2020-PG-01,M,1,2,KW-2020-PG-01,1,ECAG1,,se,0.32,1.1,0.74,0.06,0.58,0.57,0.45,0.2,0.75,0.75,0.83,1.44,0.83,0.08,0.57
Pangnirtung,2020,2020-08-05,SKIN,CM263,KW-2020-PG-02,KW-2020-PG-02,F,0,0,KW-2020-PG-02,1,ECAG1,1,se,0.41,0.86,1.27,0.33,1.98,0.47,0.59,1.01,1.36,1.48,0.83,1.03,0.66,1.03,0.54
Pangnirtung,2020,2020-08-05,SKIN,CM264,KW-2020-PG-03,KW-2020-PG-03,F,1,2,KW-2020-PG-03,1,ECAG1,,se,0.19,0.83,0.43,1.14,0.45,0.13,0.12,0.4,0.49,0.01,0.98,0.95,0.45,0.14,0.06
Pangnirtung,2020,2020-08-05,SKIN,CM265,KW-2020-PG-04,KW-2020-PG-04,M,1,0,KW-2020-PG-04,1,ECAG1,,se,0.18,0.2,0.18,0.75,0.74,0.03,0.03,0.35,0.05,0.02,0.04,0.35,0.13,0.31,0.34
Pangnirtung,2020,2020-08-06,SKIN,CM266,KW-2020-PG-05,KW-2020-PG-05,M,0,0,KW-2020-PG-05,1,ECAG1,1,se,0.16,0.23,0.28,0.3,1.23,0.14,0.19,0.19,0.09,0.03,0.27,0.45,0.26,0.31,0.26
Pangnirtung,2020,2020-08-06,SKIN,CM267,KW-2020-PG-06,KW-2020-PG-06,F,1,2,ARPI4006,1,ECAG1,,se,0,0.26,0.49,0,1.73,0.06,0.24,1.48,0.07,0.37,0.13,0.15,0.02,0.96,0.19
Pangnirtung,2020,2020-08-06,SKIN,CM268,KW-2020-PG-07,KW-2020-PG-07,F,2,3,KW-2020-PG-03,1,ECAG1,,se,0.08,0.11,0.25,0.37,0.6,0.36,0.34,0.38,0.32,0,0.06,0.07,0.01,0.29,0.16
