Location,Year,Sample_date,Tissue,UCDavis,DFO_sample_id,csia_sample_id,sex,duplicate_in_year,duplicate_other_year,duplicate_id,wgs,genetic_group,pop_analysis,mean_se,Ala,Asx,Glx,Gly,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Tyr,Val
Ittoqqortoormiit,2021,,SKIN,CM325,GRNL-KW-2021-01,GRNL-KW-2021-01,F,0,0,GRNL-KW-2021-01,1,ECAG1,1,mean,21.1055,18.874,22.45,13.5625,24.337,23.087,5.8475,14.6295,11.8865,27.356,13.115,-45.983,6.0285,23.9605
Nuuk,2021,2021-11-25,SKIN,CM326,GRNL-KW-2021-02,GRNL-KW-2021-02,F,0,0,GRNL-KW-2021-02,1,ECAG2,1,mean,23.7975,21.1365,25.0295,11.5365,23.83,24.621,6.3115,14.9305,10.373,29.01,14.256,-36.0295,9.7335,26.563
Ittoqqortoormiit,2021,,SKIN,CM327,GRNL-KW-2021-03,GRNL-KW-2021-03,M,0,0,GRNL-KW-2021-03,1,ECAG1,1,mean,21.746,20.678,23.529,-1.555,23.799,22.6665,6.304,16.254,16.479,29.133,15.6915,-50.003,5.998,24.528
Pangnirtung,2021,2021-08-19,SKIN,CM328,KW-2021-PG-03,Kw-2021-PG-03,M,0,1,KW-2020-PG-01,1,ECAG1,1,mean,22.982,20.5895,24.0925,5.9995,24.52,24.474,4.975,14.5895,11.9385,30.616,15.091,-49.794,7.468,26.195
Pangnirtung,2021,2021-08-19,SKIN,CM329,KW-2021-PG-04,Kw-2021-PG-04,F,0,0,Kw-2021-PG-04,1,ECAG1,1,mean,21.6905,20.1855,23.534,4.2285,23.5455,23.8305,4.061,14.2955,11.438,30.8655,14.5455,-49.714,5.74,25.8255
Pangnirtung,2021,2021-08-19,SKIN,CM330,KW-2021-PG-05,Kw-2021-PG-05,F,0,1,KW-2020-PG-03,1,ECAG1,1,mean,21.63,20.3015,23.2365,7.8685,23.539,23.7335,6.5355,14.6485,12.34,29.9235,14.5645,-49.5815,9.997,25.5065
Pangnirtung,2021,2021-08-29,SKIN,CM331,KW-2021-PG-06,Kw-2021-PG-06,M,0,1,ARPI-2018-02 ,1,ECAG1,1,mean,22.0425,21.4145,23.8365,5.0995,24.342,24.4895,5.92,14.6695,13.3405,32.3025,16.3215,-46.4315,8.8355,26.1835
Pangnirtung,2021,,SKIN,CM332,KW-2021-PG-08,Kw-2021-PG-08,M,1,2,ARPI4005,1,ECAG1,,mean,22.747,21.5895,24.87,5.5755,25.338,24.541,6.1635,17.38,15.234,32.884,17.493,-45.9305,11.8125,26.1795
Pangnirtung,2021,,SKIN,CM333,KW-2021-PG-XX,Kw-2021-PG-XX,M,2,3,ARPI4005,1,ECAG1,1,mean,22.569,22.0175,24.394,6.4485,24.5435,24.2345,5.9745,17.1875,14.8135,32.7315,16.7725,-46.7275,12.569,26.1825
St. P & M,2021,2021-06-25,SKIN,CM334,OR21-1,OR21-1,F,0,0,OR21-1,1,ECAG1,1,mean,22.486,20.883,23.658,9.0615,23.1065,23.822,5.0625,14.761,13.5705,31.7875,15.2025,-46.9445,3.4285,25.6555
St. P & M,2021,2021-06-25,SKIN,CM335,OR21-2,OR21-2,M,0,0,OR21-2,1,ECAG1,1,mean,23.4055,22.1355,25.1195,12.534,24.0345,24.7085,8.247,16.52,15.3455,31.979,18.2405,-42.496,9.7585,27.0135
St. P & M,2021,2021-06-25,SKIN,CM336,OR21-3,OR21-3,M,0,0,OR21-3,1,ECAG1,1,mean,22.0647,20.6963,24.2627,13.6827,23.439,23.729,6.5403,14.244,11.245,30.1147,14.7227,-49.7043,8.3977,26.1803
Mittimatalik,2022,2022-10-10,SKIN,CM337,KW-2022-PI-01,KW-2022-PI-01,F,0,2,ARPI-2018-13,1,ECAG1,1,mean,22.9375,22.4025,26.414,6.406,23.877,25.1345,7.6755,16.1495,15.803,33.504,16.21,-45.0085,9.208,26.6915
Newfoundland,2022,,SKIN,CM297,KW-Nfld-22-25,KW-Nfld-22-25,M,0,0,KW-Nfld-22-25,1,ECAG1,1,mean,22.54,21.40,24.99,9.87,27.20,25.34,7.20,16.97,15.10,31.34,16.92,-39.09,6.75,26.55
Pangnirtung,2013,2013-08-12,SKIN,CM118,ARPG-2013-01,Pang2003-01,F,0,0,Pang2013-01,1,ECAG2,1,se,0.5254,0.5586,0.053,0.5933,0.4907,0.0127,0.1541,,0.536,0.099,0.4236,0.8146,,0.3345
Mittimatalik,2013,2013-08-11,SKIN,CM119,ARPI-2013-01,ARPI4001,F,0,1,ARPI4001,1,ECAG1,1,se,0.1054,0.4596,0.2899,0.2362,0.2418,0.0799,0.792,,0.152,0.6279,0.215,0.3069,,0.0269
Mittimatalik,2013,2013-08-11,SKIN,CM121,ARPI-2013-03,ARPI4003,F,1,0,ARPI4003,1,ECAG1,,se,0.2475,0.0431,0.355,0.8231,0.7623,0.3366,0.833,,0.0785,0.6732,0.1754,0.2828,,0.1287
Mittimatalik,2013,2013-08-11,SKIN,CM122,ARPI-2013-04,ARPI4004,F,2,0,ARPI4003,1,ECAG1,1,se,1.5706,0.3706,0.4763,1.5431,0.7233,1.2107,0.5107,,0.7636,1.2145,1.506,0.3175,,1.6024
Mittimatalik,2013,2013-08-11,SKIN,CM123,ARPI-2013-05,ARPI4005,M,0,1,ARPI4005,1,ECAG1,,se,0.0021,0.7029,0.0573,0.053,0.128,0.0481,0.2609,,0.7043,0.9786,0.0969,0.6626,0.7156,0.1556
